THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.03571204,0.04059914,-0.04908755,0.004924968,0.1250843,-0.009019822,-0.02923087,0.1278967,0.003515989,-0.05850371,0.1072346,-0.009132266,-0.03229556,0.01817459,-0.04249454,54.32527,16.14209,16.76916,52.2712,THREE
-0.03631629,0.03996068,-0.04927215,0.0046525,0.1250147,-0.01054436,-0.02957887,0.1278596,0.002816707,-0.0592236,0.1068843,-0.009455055,-0.03251699,0.0170148,-0.04184023,54.36937,16.30529,16.92447,52.63145,THREE
-0.03806635,0.0395022,-0.04859003,0.004099943,0.1248696,-0.01251113,-0.02953621,0.1278957,0.002657026,-0.05976076,0.1067054,-0.008308947,-0.03396178,0.01585069,-0.0403721,54.18521,16.37792,17.00344,53.07933,THREE
-0.04063372,0.03908622,-0.04741558,0.00266692,0.1244973,-0.01610896,-0.02949345,0.1279359,0.001744062,-0.06009982,0.1065213,-0.006804466,-0.03654255,0.0139772,-0.03771645,53.35028,16.34038,16.90988,53.69185,THREE
-0.04392069,0.03880721,-0.04525116,0.0004202276,0.123689,-0.0214124,-0.02925548,0.1279309,-0.0007796586,-0.05995511,0.1062715,-0.005437821,-0.03990824,0.01174948,-0.03331202,51.78048,16.09715,16.69015,54.03987,THREE
-0.04721463,0.03946882,-0.04224277,-0.002674162,0.1227074,-0.02635604,-0.02922068,0.1278047,-0.002393842,-0.05974269,0.1059555,-0.002382725,-0.04307779,0.009350747,-0.02717948,49.52179,15.98942,16.53507,54.82958,THREE
-0.04923915,0.04095966,-0.04043853,-0.0056758,0.1211058,-0.03250098,-0.02827457,0.1277761,-0.005239129,-0.05827659,0.106013,0.0002380311,-0.04467111,0.006887108,-0.01916981,46.42009,15.96835,16.49281,55.91187,THREE
-0.04826651,0.04260924,-0.0418224,-0.006464489,0.1199127,-0.03632656,-0.0273312,0.127607,-0.0083386,-0.05722694,0.105782,-0.0002069175,-0.04428314,0.006189853,-0.01509121,43.89847,15.86448,16.69577,55.77737,THREE
-0.04656775,0.04345587,-0.04404011,-0.007452242,0.118525,-0.03997612,-0.02787085,0.126861,-0.01229265,-0.05808062,0.1040897,-0.003340811,-0.04384939,0.006305933,-0.01366648,41.58208,15.74073,17.16162,54.00737,THREE
-0.04614437,0.0431858,-0.04456857,-0.008249946,0.1175679,-0.04217011,-0.0286907,0.1261992,-0.01491201,-0.05913299,0.1025862,-0.005897701,-0.04408321,0.006925017,-0.01366508,40.71428,15.65137,17.4909,52.11317,THREE
-0.04706735,0.04239273,-0.04260844,-0.008464806,0.1168777,-0.04348934,-0.02907826,0.1255803,-0.01690578,-0.05929873,0.1015683,-0.007766694,-0.04511259,0.009153128,-0.01358268,40.9574,15.50127,17.54703,49.0134,THREE
-0.04797965,0.04165286,-0.0408321,-0.008723319,0.1163256,-0.04443985,-0.02991179,0.1249504,-0.01827466,-0.05974283,0.1006567,-0.009143591,-0.04637906,0.01106626,-0.01386777,41.34165,15.53412,17.50091,46.52248,THREE
-0.04667414,0.04231787,-0.0423758,-0.008860119,0.1168087,-0.04320168,-0.03127523,0.1247594,-0.01724035,-0.06116486,0.09972352,-0.009332329,-0.0464341,0.01080242,-0.0145371,40.69823,15.74251,17.61801,46.13875,THREE
